step_time_left,step_time_right,force_asymmetry,stance_time_left,swing_time_left,impulse_left,stride_length_left,vertical_disp_left,foot_velocity_left,peak_force_left,peak_force_right,step_time_diff,stance_time_right,swing_time_right,impulse_right,vertical_disp_right,foot_velocity_right,stride_length_right,step_width,subject,speed,target
0.5852,0.5122,1.0220025,1.059,0.492,610.9219149,0.1849379,0.002016,0.440370053,806.916748,806.235413,0.048,-0.494,2.042,0,0.003471,0.435533874,0.184254,0.094267,1,0.6,1
1.6282,1.5145,3.0259095,1.03,0.537,602.0254829,0.1545537,0.119049,0.133169143,789.66449,787.647217,0.004,-0.514,2.08,0,0.123864,0.132059533,0.16293,0.115553,1,0.6,1
0.5054,0.4953,1.8283995,1.039,0.541,614.1708686,0.1562526,0.0044904,0.434339327,793.827271,795.046204,0.04,-0.491,2.099,0,0.0037692,0.435862292,0.177384,0.113981,1,0.6,1
1.6772,1.4495,11.7683715,1.103,0.484,644.9990089,0.1535898,0.1183716,0.128610716,795.623596,787.778015,0.166,-0.512,2.014,0,0.1243662,0.173798262,0.2074635,0.128816,1,0.6,1
0.447,0.429,8.88385,1.01,0.512,573.0781921,0.276336,0.022115,0.616327728,802.453247,811.337097,0.018,-0.455,2.058,0,0.007627,0.619565177,0.266292,0.091904,1,0.6,0
1.5428,1.5717,17.2525635,1.124,0.466,638.508122,0.2448089,0.1271322,0.223573884,798.762939,787.26123,0.214,-0.503,2.095,0,0.1215426,0.127893732,0.1654125,0.11639,1,0.6,1
0.5572,0.507,25.58139,1.094,0.528,657.5034227,0.1753661,0.002502,0.43848854,809.3172,826.37146,0.016,-0.544,2.15,0,0.0046368,0.435952574,0.1820625,0.097709,1,0.6,1
1.5372,0.494,12.28656,-0.499,2.069,0,0.2243745,0.1313088,0.204245241,812.439758,804.248718,1.436,-0.158,1.693,0,0.0061572,0.503425355,0.2048025,0.10436,1,0.7,1
0.24,1.164,5.892395,-0.53,2.089,0,0.174369,0.004122,0.726764516,787.255371,793.147766,0.924,-0.532,2.11,0,0.210228,0.252569691,0.292572,0.116744,1,0.7,0
0.3276,0.481,30.0966795,-0.525,2.092,0,0.1139453,0.0094056,0.498099434,777.736328,797.800781,0.272,-0.542,2.093,0,0.0072036,0.50483905,0.19991175,0.086154,1,0.7,1
1.106,1.169,5.246216,-0.526,2.146,0,0.359357,0.215674,0.325645266,800.305725,795.059509,0.063,-0.543,2.167,0,0.215474,0.267921665,0.312212,0.095864,1,0.7,0
0.3024,0.3211,26.2286685,-0.543,2.12,0,0.110985,0.0014124,0.516282439,811.055786,793.570007,0.062,-0.576,2.124,0,0.0018954,0.510730406,0.13678125,0.099226,1,0.7,1
0.357,0.2626,0.8122545,-0.552,2.175,0,0.1281119,0.0084564,0.504195651,767.594543,767.05304,0.106,-0.523,2.14,0,0.006882,0.497808385,0.10627275,0.121905,1,0.7,1
1.561,1.4547,12.6296085,-0.551,2.109,0,0.243705,0.130512,0.219517257,816.196228,807.776489,0.008,-0.561,2.157,0,0.127164,0.219119383,0.26265675,0.131056,1,0.7,1
0.255,0.243,2.265991,-0.512,2.033,0,0.184888,0.008373,0.72587348,800.609985,798.343994,0.012,-0.537,2.072,0,0.004495,0.724030206,0.173705,0.093212,1,0.7,0
1.8396,1.8421,19.2456675,-0.526,2.029,0,0.1269527,0.1316478,0.097191306,791.320801,778.490356,0.206,-0.552,2.091,0,0.1282998,0.07023354,0.10494375,0.112434,1,0.7,1
0.5754,0.3965,20.225646,-0.479,1.989,0,0.2073925,0.0088488,0.506516282,812.122009,798.638245,0.212,-0.493,1.998,0,0.0020934,0.509340891,0.1664235,0.08296,1,0.7,1
1.6604,1.5665,9.4390875,-0.451,1.978,0,0.2137569,0.1320738,0.180756371,796.638245,790.34552,0.038,-0.502,2.006,0,0.1273926,0.133540583,0.17234475,0.105999,1,0.7,1
0.3108,0.5239,13.7722785,-0.482,2.082,0,0.112189,0.002796,0.510212926,805.761292,796.579773,0.362,-0.523,2.072,0,0.008394,0.501445452,0.214629,0.105139,1,0.7,1
0.21,1.222,26.25409,-0.553,2.065,0,0.15175,0.008883,0.724059493,778.219055,804.473145,1.012,-0.54,2.127,0,0.216254,0.215623807,0.263603,0.091909,1,0.7,0
1.6058,0.5863,30.6432495,-0.48,1.976,0,0.2184077,0.1301352,0.190496395,806.376038,826.804871,1.392,-0.494,1.951,0,0.0100866,0.501764922,0.2415585,0.083185,1,0.7,1
0.253,1.155,5.75885,-0.467,2.062,0,0.181495,0.006204,0.726529681,795.286377,801.045227,0.902,-0.486,2.057,0,0.209578,0.228072507,0.262105,0.10446,1,0.7,0
0.215,0.422,31.163208,-0.53,2.098,0,0.153024,0.013558,0.714873554,776.334717,807.497925,0.207,-0.524,2.087,0,0.012392,0.718537199,0.301498,0.099085,1,0.7,0
1.151,1.277,3.229797,-0.575,2.109,0,0.28876,0.217688,0.251192736,798.377686,801.607483,0.126,-0.527,2.1,0,0.198761,0.159785822,0.204194,0.114753,1,0.7,0
0.252,0.255,28.403076,-0.544,2.072,0,0.181272,0.004264,0.725409463,804.83197,776.428894,0.003,-0.532,2.069,0,0.005892,0.719036511,0.18324,0.109068,1,0.7,0
0.215,1.106,5.471496,-0.517,2.059,0,0.153628,0.012177,0.717071038,790.935181,796.406677,0.891,-0.533,2.075,0,0.212872,0.27362341,0.302191,0.109393,1,0.7,0
1.47,0.26,9.520386,-0.473,1.979,0,0.2288965,0.1286682,0.218519395,810.285034,803.93811,1.7,-0.565,2.064,0,0.0019962,0.506834349,0.10857675,0.098605,1,0.7,1
0.2996,0.2795,65.191131,-0.488,1.971,0,0.1081206,0.0021702,0.503249569,794.38092,750.920166,0.002,-0.507,2.033,0,0.0029826,0.506946867,0.11670975,0.104986,1,0.7,1
0.3738,1.4443,21.9349365,-0.475,2.059,0,0.1306011,0.0089286,0.494578721,814.121033,828.744324,1.688,-0.533,2.051,0,0.1255956,0.185817164,0.2208645,0.116823,1,0.7,1
1.5582,0.5005,14.78943,-0.516,2.133,0,0.2051035,0.1282848,0.184231256,797.091125,806.950745,1.456,-0.564,2.163,0,0.0083598,0.503431754,0.2073825,0.104585,1,0.7,1
0.419,1.109,31.921936,-0.53,2.173,0,0.30096,0.018993,0.718153458,807.039185,775.117249,0.69,-0.57,2.181,0,0.202366,0.261635479,0.290029,0.12257,1,0.7,0
1.4896,0.5421,56.719299,-0.586,2.177,0,0.2399194,0.1301736,0.226739288,788.255432,826.068298,1.294,-0.593,2.216,0,0.0041634,0.50860471,0.22608,0.105007,1,0.7,1
0.252,1.123,16.130798,-0.541,2.09,0,0.185019,0.00476,0.725901279,804.606628,788.47583,0.871,-0.558,2.163,0,0.208322,0.258908684,0.291028,0.114061,1,0.7,0
0.2828,0.4771,54.0853275,-0.478,2.01,0,0.1009701,0.0059658,0.506252405,761.64447,797.701355,0.33,-0.565,2.05,0,0.0047052,0.504954298,0.197379,0.087625,1,0.7,1
1.034,1.214,15.54773,-0.472,2.012,0,0.356072,0.222181,0.34440139,796.451416,811.999146,0.18,-0.51,2.066,0,0.214452,0.209016977,0.253758,0.116202,1,0.7,0
0.3612,0.26,11.7639765,-0.506,1.983,0,0.1325989,0.0028836,0.510188553,800.906189,808.74884,0.116,-0.532,2.071,0,0.0007782,0.514321233,0.11020725,0.08468,1,0.7,1
0.213,0.202,0.712036,-0.455,2.061,0,0.152051,0.007981,0.725278535,770.913574,770.201538,0.011,-0.495,1.991,0,0.00565,0.71539774,0.146523,0.102975,1,0.7,0
1.084,1.103,18.561645,-0.56,2.16,0,0.292246,0.216713,0.269679074,811.052551,792.490906,0.019,-0.55,2.178,0,0.207617,0.249312053,0.273759,0.120424,1,0.7,0
0.5866,0.5044,39.1393425,-0.554,2.04,0,0.2119278,0.010053,0.505463587,815.694397,841.787292,0.062,-0.566,2.099,0,0.009183,0.504486469,0.2104665,0.11859,1,0.7,1
1.202,1.16,2.163453,-0.486,1.971,0,0.246244,0.215028,0.206050773,793.413818,795.577271,0.042,-0.49,1.968,0,0.214761,0.241661737,0.279567,0.121109,1,0.7,0
0.5894,0.5512,2.9761965,-0.483,2.027,0,0.2110262,0.0134394,0.504058633,819.879517,817.895386,0.006,-0.496,2.003,0,0.0093828,0.501225279,0.22790475,0.096752,1,0.7,1
1.045,1.082,11.831116,-0.51,1.979,0,0.361222,0.220518,0.347376867,800.928345,789.097229,0.037,-0.505,2.039,0,0.203438,0.302409974,0.326086,0.114273,1,0.7,0
0.423,0.234,3.065124,-0.424,1.92,0,0.308409,0.011383,0.726231911,786.038269,782.973145,0.189,-0.48,1.929,0,0.002996,0.725316372,0.170421,0.096363,1,0.7,0
1.5302,0.2938,18.312102,-0.475,2.022,0,0.2041718,0.1316448,0.186840613,798.6604,786.452332,1.734,-0.505,2.036,0,0.0056574,0.496900942,0.1195545,0.108585,1,0.7,1
0.405,1.077,5.835754,-0.494,2.104,0,0.293323,0.013548,0.725122338,805.465271,811.301025,0.672,-0.499,2.043,0,0.206333,0.327405015,0.351656,0.117128,1,0.7,0
0.899,0.386,35.094116,-0.443,1.82,0,0.365202,0.222142,0.406035633,843.106689,808.012573,0.513,0.852,0.493,500.8689368,0.016576,0.817861421,0.314396,0.093273,1,0.8,0
0.5684,1.2441,13.619751,-0.489,1.841,0,0.2323384,0.0112968,0.574699429,776.911133,785.990967,1.102,0.885,0.478,535.5907989,0.1258308,0.264796696,0.27054075,0.104885,1,0.8,1
0.982,0.378,20.895813,-0.465,1.825,0,0.3245,0.219465,0.332391449,804.047974,783.152161,0.604,0.904,0.472,530.5821679,0.013464,0.821475786,0.311836,0.081727,1,0.8,0
0.432,0.995,4.637878,-0.483,1.832,0,0.357742,0.019713,0.823802922,775.748108,780.385986,0.563,0.889,0.459,545.1805844,0.208221,0.288241968,0.286006,0.120947,1,0.8,0
1.3286,0.507,42.6358335,-0.461,1.828,0,0.2157225,0.1325436,0.227974731,805.030823,776.606934,1.118,0.866,0.488,523.8736545,0.0069258,0.576360576,0.240663,0.102005,1,0.8,1
0.525,1.17,21.70761,-0.464,1.845,0,0.2131801,0.0154782,0.570703117,816.601135,802.129395,1.05,0.883,0.489,525.7667098,0.1289166,0.316700419,0.30519375,0.110368,1,0.8,1
1.372,0.5876,3.071136,-0.474,1.812,0,0.2402078,0.135123,0.245841053,787.517395,789.564819,1.056,0.919,0.453,550.373575,0.0072336,0.578514099,0.278763,0.10336,1,0.8,1
0.379,0.981,8.72876,-0.443,1.776,0,0.308631,0.017156,0.824435833,797.172729,805.901489,0.602,0.845,0.501,498.1848073,0.20985,0.30954059,0.30466,0.100627,1,0.8,0
1.3146,0.4953,0.661194,-0.412,1.83,0,0.2299311,0.1310958,0.24516884,796.812988,797.253784,1.116,0.848,0.492,493.2252099,0.006864,0.576968783,0.23472,0.07891,1,0.8,1
0.405,1,10.832337,-0.509,1.916,0,0.330548,0.025121,0.818776574,796.898743,786.066406,0.595,0.931,0.486,568.0655401,0.206888,0.305030552,0.304662,0.11497,1,0.8,0
1.3146,0.4407,13.749207,-0.515,1.89,0,0.2756992,0.1346268,0.294130549,780.694214,789.860352,1.2,0.913,0.507,555.0277187,0.0067626,0.575478417,0.20944125,0.092483,1,0.8,1
0.45,1.02,5.951477,-0.471,1.835,0,0.369657,0.018036,0.822564539,793.697327,787.74585,0.57,0.853,0.5,515.6213014,0.217608,0.287908949,0.292724,0.10613,1,0.8,0
0.977,0.372,38.220764,-0.475,1.807,0,0.279244,0.211765,0.28702446,809.53241,771.311646,0.605,0.88,0.469,535.1635035,0.010054,0.82446757,0.304862,0.11298,1,0.8,0
0.5656,1.2649,0.2882985,-0.463,1.784,0,0.2321102,0.0144066,0.574763867,795.414001,795.221802,1.138,0.843,0.485,517.2813685,0.1241322,0.213418454,0.2227605,0.117391,1,0.8,1
0.897,0.364,6.519348,-0.446,1.813,0,0.405566,0.225365,0.451547432,811.333496,804.814148,0.533,0.852,0.493,512.739302,0.011807,0.824393984,0.296512,0.094662,1,0.8,0
0.45,1.009,8.914917,-0.363,1.689,0,0.365656,0.031146,0.815872888,794.188049,803.102966,0.559,0.876,0.48,529.4418106,0.205141,0.334160136,0.336142,0.116845,1,0.8,0
0.902,0.337,20.876587,-0.443,1.811,0,0.384087,0.224489,0.429375089,789.200928,768.324341,0.565,0.835,0.477,507.3486504,0.010689,0.827032599,0.280952,0.088697,1,0.8,0
0.4998,1.2792,14.253021,-0.491,1.79,0,0.2015223,0.01494,0.569940206,784.166992,793.669006,1.254,0.888,0.471,540.6627163,0.124137,0.246104585,0.25742775,0.126112,1,0.8,1
1.5078,0.5434,20.8579095,-0.44,1.815,0,0.1976702,0.1338102,0.186902582,784.616821,770.711548,1.318,0.863,0.501,510.1829062,0.0136338,0.571989161,0.2567745,0.126996,1,0.8,1
0.381,0.99,7.129577,-0.446,1.809,0,0.309647,0.025726,0.817925522,800.422729,793.293152,0.609,0.842,0.509,496.5542694,0.212126,0.329329707,0.324882,0.114059,1,0.8,0
1.4252,0.3822,44.880981,-0.448,1.805,0,0.2239916,0.1358856,0.220737648,813.500061,783.579407,1.448,0.858,0.506,503.3216978,0.008352,0.570119521,0.1798755,0.082504,1,0.8,1
0.5138,1.4378,19.3432605,-0.463,1.819,0,0.2090928,0.0109968,0.574062473,803.420959,790.525452,1.478,0.893,0.446,531.6881262,0.1271946,0.17072673,0.20175675,0.11303,1,0.8,1
1.008,0.383,18.950867,-0.477,1.786,0,0.331025,0.226335,0.328216093,801.866272,782.915405,0.625,0.866,0.482,524.6301378,0.013212,0.82154988,0.315974,0.107462,1,0.8,0
0.406,0.995,7.894837,-0.426,1.759,0,0.334006,0.015577,0.825701387,794.240295,802.135132,0.589,0.817,0.48,483.214536,0.197768,0.302248831,0.29958,0.100816,1,0.8,0
1.3594,0.5148,60.838164,-0.456,1.843,0,0.1809514,0.1247382,0.187039635,808.573608,768.014832,1.15,0.871,0.499,519.2107156,0.0064056,0.574982712,0.24319125,0.09949,1,0.8,1
0.5138,1.2467,4.1190495,-0.497,1.843,0,0.2052904,0.0172896,0.565358107,814.0177,811.271667,1.184,0.902,0.484,556.9538156,0.111003,0.217112096,0.2232375,0.117407,1,0.8,1
1.2922,0.4641,54.033783,-0.432,1.832,0,0.2715944,0.1325574,0.294485246,804.522705,768.500183,1.132,0.839,0.54,493.617504,0.0145122,0.566129912,0.2145,0.089808,1,0.8,1
0.5586,1.2428,27.2859195,-0.456,1.768,0,0.2292255,0.0107196,0.574006218,794.24469,776.054077,1.114,0.86,0.453,509.3562948,0.1162248,0.2510516,0.2556075,0.124678,1,0.8,1
1.3482,0.4914,6.551697,-0.459,1.826,0,0.2078741,0.12951,0.217124126,812.390076,816.757874,1.17,0.89,0.451,523.8422029,0.007224,0.577661262,0.23499525,0.095072,1,0.8,1
0.49,1.2766,8.2250985,-0.484,1.833,0,0.1990373,0.013281,0.570552891,795.022217,789.538818,1.264,0.892,0.495,539.7994704,0.113805,0.234392773,0.24583125,0.117523,1,0.8,1
0.987,0.353,18.039001,-0.455,1.783,0,0.341549,0.224484,0.348189391,785.316162,767.277161,0.634,0.843,0.482,510.4267956,0.013051,0.824861062,0.292499,0.088717,1,0.8,0
0.5614,1.2987,37.9780875,-0.461,1.797,0,0.2303567,0.010242,0.576745926,793.377014,768.058289,1.196,0.873,0.465,518.6324281,0.1250928,0.201428074,0.2140095,0.084336,1,0.8,1
1.2922,0.4758,0.7870785,-0.46,1.864,0,0.1939182,0.1275936,0.210474277,790.698608,790.173889,1.114,0.866,0.502,517.1910713,0.005652,0.576833191,0.225459,0.097228,1,0.8,1
0.3542,1.2519,39.0072315,-0.447,1.756,0,0.1444569,0.0041292,0.578200545,778.358643,804.363464,1.42,0.895,0.467,539.1464852,0.1053858,0.209440521,0.2153115,0.117203,1,0.8,1
1.118,0.354,34.676025,-0.457,1.808,0,0.276721,0.225471,0.24731279,790.069397,755.393372,0.764,0.845,0.469,516.8160289,0.022283,0.812920866,0.287642,0.095214,1,0.8,0
0.354,0.982,7.971069,-0.256,2.905,0,0.291295,0.016344,0.821959987,785.190491,793.16156,0.628,0.894,0.483,525.1250651,0.218086,0.366878316,0.360412,0.111517,1,0.8,0
1.3664,0.4264,13.7335515,-0.463,1.809,0,0.2077292,0.1355526,0.213507628,790.250427,799.406128,1.296,0.812,0.467,441.8445455,0.0045486,0.580015127,0.2018775,0.087378,1,0.8,1
0.203,1.027,13.259765,-0.438,1.819,0,0.164323,0.009169,0.823006516,772.147217,785.406982,0.824,0.87,0.499,524.2762653,0.203827,0.263978822,0.271594,0.114847,1,0.8,0
0.228,0.339,26.194946,-0.521,1.856,0,0.183786,0.024777,0.807623515,774.765259,800.960205,0.111,0.833,0.478,495.686662,0.003834,0.834874301,0.279653,0.113363,1,0.8,0
1.2712,1.3455,17.2759095,-0.465,1.818,0,0.2531739,0.1371384,0.280082292,785.481812,773.964539,0.254,0.932,0.462,570.9129379,0.111636,0.155357194,0.17166975,0.113733,1,0.8,1
0.253,0.365,41.929687,-0.478,1.861,0,0.20735,0.004109,0.829591931,771.674744,813.604431,0.112,0.882,0.449,534.5924854,0.013796,0.822182427,0.299742,0.101398,1,0.8,0
0.211,0.968,22.179382,-0.47,1.757,0,0.170499,0.014798,0.815566438,777.1745,799.353882,0.757,0.883,0.48,539.1027785,0.207531,0.373842724,0.361618,0.113205,1,0.8,0
0.395,0.342,44.118164,-0.429,1.687,0,0.363086,0.02783,0.92222898,818.536133,774.417969,0.053,-0.444,1.74,0,0.021371,0.919684874,0.316494,0.114326,1,0.9,0
0.888,0.942,6.120788,-0.426,1.759,0,0.39028,0.232416,0.439793976,823.087036,816.966248,0.054,-0.477,1.786,0,0.227643,0.385462714,0.361562,0.134784,1,0.9,0
0.56,0.4446,37.7297055,-0.46,1.743,0,0.2586542,0.0116874,0.647630585,808.094299,782.941162,0.116,-0.452,1.752,0,0.0142026,0.641840952,0.23651925,0.112726,1,0.9,1
1.323,1.274,45.000825,-0.451,1.753,0,0.2285794,0.1372986,0.242823674,842.157349,812.156799,0.07,-0.457,1.743,0,0.1336092,0.186267988,0.19427175,0.122132,1,0.9,1
0.363,0.348,21.14856,-0.43,1.719,0,0.327821,0.042446,0.906221977,804.93335,783.78479,0.015,-0.451,1.713,0,0.0335,0.904318132,0.310018,0.101405,1,0.9,0
1.33,1.1453,98.144532,-0.446,1.725,0,0.228578,0.1380228,0.243197204,749.710083,815.139771,0.138,-0.422,1.732,0,0.136761,0.3482623,0.3272745,0.124342,1,0.9,1
0.5222,0.5161,68.2870785,-0.442,1.755,0,0.2387196,0.0100896,0.646122331,798.868286,753.343567,0.048,-0.463,1.828,0,0.0128238,0.645426901,0.276111,0.089752,1,0.9,1
0.885,0.973,9.875549,-0.463,1.784,0,0.408493,0.233623,0.462007461,820.380859,810.50531,0.088,-0.527,1.761,0,0.217732,0.270402488,0.260497,0.106747,1,0.9,0
0.379,0.325,19.262696,-0.389,1.605,0,0.35292,0.021334,0.930775671,803.412598,784.149902,0.054,-0.428,1.708,0,0.021987,0.914007762,0.296148,0.118692,1,0.9,0
0.908,0.929,29.708618,-0.425,1.74,0,0.374489,0.233428,0.412556915,794.640381,824.348999,0.021,-0.463,1.744,0,0.229342,0.435598774,0.404142,0.124094,1,0.9,0
0.5166,0.4459,10.3507695,-0.444,1.75,0,0.2363914,0.0106206,0.648636349,793.657593,786.75708,0.052,-0.463,1.798,0,0.0075846,0.647313571,0.23905125,0.093355,1,0.9,1
0.915,0.948,2.439453,-0.456,1.835,0,0.311091,0.228401,0.341270939,795.446411,797.885864,0.033,-0.479,1.897,0,0.221375,0.275466607,0.259698,0.117258,1,0.9,0
0.378,0.354,47.504883,-0.509,1.861,0,0.350772,0.022002,0.925079666,819.815796,772.310913,0.024,-0.519,1.848,0,0.032431,0.907269411,0.320286,0.108624,1,0.9,0
0.897,0.926,24.542053,-0.446,1.755,0,0.368007,0.232533,0.412447596,820.586975,796.044922,0.029,-0.464,1.773,0,0.230062,0.362206387,0.333222,0.112873,1,0.9,0
0.364,0.2964,29.1418755,-0.426,1.74,0,0.1697633,0.0041268,0.653288007,798.905151,779.477234,0.064,-0.494,1.796,0,0.0047304,0.644511409,0.15869925,0.105494,1,0.9,1
0.3248,1.508,11.2622685,-0.438,1.787,0,0.1452213,0.018567,0.62642051,772.104919,779.613098,1.856,-0.463,1.781,0,0.1327836,0.115298985,0.1400535,0.128826,1,0.9,1
0.837,0.308,17.219544,-0.445,1.763,0,0.456998,0.234692,0.54924273,812.487,795.267456,0.529,-0.479,1.813,0,0.014498,0.926691342,0.28685,0.106432,1,0.9,0
0.4858,1.0803,19.563354,-0.484,1.808,0,0.2259712,0.0108984,0.646875515,795.220276,808.262512,0.968,-0.469,1.797,0,0.1318908,0.32556739,0.2854335,0.123263,1,0.9,1
1.2698,0.5343,12.0818475,-0.468,1.789,0,0.1708406,0.134568,0.189522874,797.829895,805.88446,0.992,-0.457,1.776,0,0.0069582,0.647138105,0.2841,0.134627,1,0.9,1
0.273,0.927,4.635559,-0.449,1.757,0,0.253217,0.01582,0.922751313,787.17926,782.543701,0.654,-0.479,1.776,0,0.212178,0.335865372,0.310094,0.146144,1,0.9,0
0.986,0.342,2.281006,-0.441,1.765,0,0.346604,0.234472,0.352560499,800.74054,798.459534,0.644,-0.451,1.791,0,0.024642,0.916988986,0.315313,0.111473,1,0.9,0
0.448,0.944,41.171814,-0.495,1.781,0,0.408749,0.026654,0.920707777,770.782532,811.954346,0.496,-0.472,1.735,0,0.221179,0.3782399,0.356437,0.144322,1,0.9,0
